iter	Passed	Remaining
0	57	11460
1	62	6140
2	66	4351
3	70	3435
4	73	2879
5	77	2506
6	82	2281
7	88	2134
8	93	1993
9	97	1852
10	100	1732
11	105	1649
12	109	1572
13	113	1513
14	117	1448
15	121	1391
16	128	1388
17	133	1346
18	142	1357
19	147	1324
20	153	1311
21	169	1375
22	179	1385
23	186	1365
24	192	1347
25	195	1310
26	203	1305
27	212	1305
28	218	1286
29	222	1262
30	228	1244
31	232	1218
32	237	1201
33	241	1179
34	248	1172
35	254	1160
36	262	1158
37	268	1143
38	272	1124
39	276	1104
40	279	1082
41	283	1066
42	286	1046
43	291	1034
44	296	1021
45	301	1008
46	305	995
47	310	982
48	315	971
49	319	957
50	323	944
51	327	931
52	331	918
53	335	906
54	338	893
55	342	880
56	345	867
57	350	857
58	353	845
59	358	835
60	361	824
61	365	813
62	373	812
63	383	814
64	387	804
65	391	793
66	393	782
67	398	774
68	402	764
69	406	754
70	409	743
71	413	735
72	416	723
73	418	712
74	420	700
75	422	688
76	423	677
77	426	666
78	428	656
79	430	645
80	432	635
81	434	624
82	436	615
83	438	605
84	440	596
85	442	586
86	444	577
87	446	568
88	449	559
89	450	551
90	453	542
91	455	534
92	456	525
93	458	517
94	460	509
95	462	501
96	465	494
97	467	486
98	469	478
99	471	471
100	473	463
101	475	456
102	477	449
103	479	442
104	481	435
105	483	428
106	485	422
107	487	415
108	489	408
109	491	402
110	493	395
111	495	389
112	497	383
113	501	377
114	507	374
115	511	370
116	514	365
117	519	360
118	524	356
119	528	352
120	531	347
121	535	342
122	540	338
123	543	333
124	548	329
125	553	324
126	557	320
127	561	315
128	564	310
129	569	306
130	572	301
131	574	295
132	582	293
133	587	289
134	589	283
135	591	278
136	594	273
137	595	267
138	598	262
139	600	257
140	602	252
141	607	248
142	612	244
143	615	239
144	623	236
145	635	235
146	648	233
147	652	229
148	654	224
149	657	219
150	659	214
151	665	210
152	669	205
153	671	200
154	681	197
155	683	192
156	687	188
157	694	184
158	704	181
159	716	179
160	726	175
161	734	172
162	741	168
163	748	164
164	755	160
165	760	155
166	768	151
167	770	146
168	776	142
169	778	137
170	784	133
171	789	128
172	793	123
173	798	119
174	802	114
175	804	109
176	807	104
177	809	100
178	811	95
179	813	90
180	815	85
181	817	80
182	819	76
183	822	71
184	824	66
185	826	62
186	827	57
187	830	52
188	831	48
189	833	43
190	835	39
191	837	34
192	839	30
193	841	26
194	843	21
195	845	17
196	847	12
197	850	8
198	851	4
199	854	0
