Feature,MI_Score,MI_Rank,Chi2_Score,Chi2_PValue,Chi2_Rank,Variance,Low_Variance,Abs_Correlation,Corr_Rank,F_Score,F_PValue,F_Rank,RFE_LR_Selected,RFE_LR_Rank,RFE_GB_Selected,RFE_GB_Rank,SFS_Selected,RF_Importance,RF_Rank,GB_Importance,GB_Rank,LR_L1_Coef,LR_L1_Rank,XGB_Importance,XGB_Rank,Boruta_Selected,Boruta_Tentative,Boruta_Rank,Boruta_Status,Average_Rank,Median_Rank,Top20_Count,Boruta_Bonus,Combined_Score
mother education,0.04251851734116241,1.0,100.49869857257558,1.1847477718559213e-23,2.0,0.8151223817966234,False,0.16150935164277833,2.0,157.2217096732996,1.3050512664400115e-35,2.0,True,1,True,1,False,0.09536977008765098,2.0,0.24299946821003007,1.0,0.15383726617243232,6.0,0.06555782,1.0,True,False,1,Confirmed,1.8181818181818181,1.0,11,1,-3.1818181818181817
wealth index,0.012051449852015672,7.0,235.52938678778594,3.711387262863669e-53,1.0,1.8860429989552863,False,0.18478274308188886,1.0,207.5146855958285,2.923082253975418e-46,1.0,True,1,True,1,False,0.10449560673430676,1.0,0.1534159504354349,2.0,0.24560369358090028,2.0,0.04084706,10.0,True,False,1,Confirmed,2.5454545454545454,1.0,11,1,-2.4545454545454546
Gandaki,0.00564940411203918,14.0,41.894080958566164,9.635387285137503e-11,4.0,0.09739543231242836,False,0.08950050577944893,6.0,47.400392222325074,6.390393248040208e-12,6.0,True,1,True,1,True,0.022473293426693214,18.0,0.04123054227772449,7.0,0.14714120678567094,7.0,0.051717866,2.0,True,False,1,Confirmed,6.090909090909091,6.0,11,1,1.0909090909090908
Koshi,0.000978392885500945,22.0,41.89106484137224,9.650261470274955e-11,5.0,0.1197967646358562,False,0.09103326515773308,5.0,49.05150755302503,2.7721701428403236e-12,5.0,True,1,True,1,True,0.022065269803383573,20.0,0.04162342579299114,6.0,0.19252982571119323,4.0,0.04950243,3.0,True,False,1,Confirmed,6.636363636363637,5.0,10,1,1.6363636363636367
residence type,0.011435141693803441,8.0,29.763509212499415,4.880931857943339e-08,8.0,0.24876337625895903,False,0.10449106161868842,3.0,64.79839572949074,9.962477837518926e-16,3.0,True,1,True,1,False,0.03780563970840339,11.0,0.012249008835120232,17.0,0.08388863994916043,10.0,0.030887207,16.0,True,False,1,Confirmed,7.181818181818182,8.0,11,1,2.1818181818181817
child age,0.016200089903649184,4.0,20.682860901050418,5.419896853425693e-06,13.0,1.8845644309106278,False,0.0634786191891263,11.0,23.749068708521058,1.1263300969985282e-06,11.0,True,1,True,1,True,0.045263485040179345,8.0,0.12374699460758082,3.0,0.0,25.0,0.04859113,4.0,True,False,1,Confirmed,7.454545454545454,4.0,10,1,2.454545454545454
vaccination record,0.014446504350912548,5.0,25.20655737435301,5.150677341926891e-07,9.0,0.8293560181504527,False,0.069570219889234,8.0,28.549068894038857,9.479648853231331e-08,8.0,True,1,True,1,False,0.027676570207703668,14.0,0.015779133719514872,13.0,0.22305500501062445,3.0,0.029091751,22.0,True,False,1,Confirmed,7.7272727272727275,8.0,10,1,2.7272727272727275
health insurance,0.009229096317733276,10.0,24.63436191807004,6.930486402799656e-07,10.0,0.04029302940850072,False,0.06676017651858547,9.0,26.279251814525214,3.049082059793041e-07,9.0,True,1,True,1,True,0.014879029625086908,25.0,0.030143072962770637,8.0,0.0805112281337376,11.0,0.041692887,7.0,True,False,1,Confirmed,8.363636363636363,9.0,10,1,3.3636363636363633
Karnali,0.005088311568960835,15.0,51.79041911615013,6.175240625792089e-13,3.0,0.10083600313182098,False,0.09975991467920263,4.0,59.00570535983061,1.830715203392747e-14,4.0,True,1,True,1,False,0.015882213495487102,24.0,0.011662118715696817,18.0,0.0720828758952296,12.0,0.034709707,11.0,True,False,1,Confirmed,8.545454545454545,4.0,10,1,3.545454545454545
safe stool disposal,0.0005295458158010025,23.0,22.736993180238343,1.8575718234224515e-06,11.0,0.8453205080901508,False,0.06594626928134775,10.0,25.63960859789857,4.2406457096643114e-07,10.0,True,1,True,1,True,0.026357577891545816,16.0,0.024819855266945464,11.0,0.15764410627201383,5.0,0.033001952,14.0,True,False,1,Confirmed,9.363636363636363,10.0,10,1,4.363636363636363
away privileges,0.0,26.0,14.140670981709453,0.00016963621543703738,15.0,0.4450012229324668,False,0.07914655715146553,7.0,37.00251228263502,1.254198360240571e-09,7.0,True,1,True,1,False,0.049493525466085236,7.0,0.010401029329401795,21.0,0.08488979512918324,9.0,0.029956825,18.0,True,False,1,Confirmed,10.272727272727273,7.0,9,1,5.272727272727273
left alone,0.0073985522258548375,12.0,38.02855313123028,6.971685360047134e-10,6.0,4.571462521528036,False,0.05262420627448926,16.0,16.300975000515358,5.4724278707931625e-05,16.0,True,1,False,2,True,0.05627696053068909,5.0,0.013746055007323323,15.0,0.0033607737644119305,21.0,0.029264303,20.0,True,False,1,Confirmed,10.454545454545455,12.0,10,1,5.454545454545455
