iter	Passed	Remaining
0	54	27318
1	58	14647
2	62	10389
3	67	8314
4	70	7006
5	74	6132
6	78	5513
7	81	5022
8	85	4665
9	89	4368
10	92	4116
11	95	3899
12	99	3717
13	102	3572
14	106	3453
15	114	3472
16	120	3434
17	124	3337
18	128	3242
19	131	3159
20	135	3086
21	138	3018
22	143	2974
23	148	2947
24	152	2892
25	156	2846
26	159	2799
27	163	2751
28	166	2708
29	170	2670
30	173	2631
31	177	2596
32	181	2569
33	185	2537
34	188	2504
35	191	2470
36	195	2441
37	198	2411
38	201	2387
39	205	2359
40	208	2337
41	212	2316
42	216	2296
43	220	2285
44	225	2284
45	229	2264
46	233	2246
47	239	2253
48	242	2235
49	245	2213
50	252	2221
51	255	2202
52	259	2184
53	262	2166
54	267	2164
55	271	2152
56	275	2137
57	279	2130
58	283	2122
59	287	2111
60	292	2107
61	297	2104
62	301	2093
63	305	2084
64	311	2081
65	316	2078
66	319	2067
67	324	2061
68	328	2053
69	332	2043
70	336	2032
71	340	2025
72	343	2011
73	347	1999
74	350	1986
75	353	1974
76	357	1961
77	360	1951
78	363	1939
79	367	1929
80	370	1918
81	374	1907
82	377	1897
83	380	1886
84	385	1881
85	392	1891
86	401	1904
87	406	1903
88	411	1900
89	418	1907
90	423	1903
91	429	1906
92	438	1918
93	444	1918
94	448	1911
95	456	1922
96	465	1932
97	469	1927
98	474	1920
99	477	1909
100	480	1899
101	483	1888
102	486	1876
103	490	1866
104	493	1856
105	496	1846
106	500	1837
107	503	1827
108	506	1817
109	509	1807
110	513	1798
111	516	1789
112	519	1780
113	523	1771
114	526	1761
115	529	1753
116	532	1744
117	536	1735
118	539	1727
119	542	1718
120	546	1710
121	549	1702
122	552	1694
123	559	1695
124	562	1687
125	565	1678
126	569	1671
127	572	1663
128	575	1656
129	579	1648
130	582	1640
131	587	1636
132	590	1630
133	594	1622
134	597	1615
135	600	1608
136	604	1601
137	607	1594
138	611	1587
139	614	1581
140	618	1574
141	621	1567
142	624	1560
143	628	1553
144	631	1546
145	635	1539
146	638	1533
147	641	1526
148	645	1520
149	648	1513
150	652	1506
151	655	1500
152	658	1493
153	662	1487
154	665	1480
155	668	1474
156	671	1467
157	675	1461
158	678	1455
159	681	1448
160	685	1442
161	688	1436
162	692	1431
163	695	1425
164	698	1418
165	702	1412
166	705	1406
167	708	1400
168	712	1394
169	715	1388
170	718	1382
171	722	1377
172	725	1371
173	729	1366
174	732	1360
175	735	1354
176	739	1348
177	742	1342
178	745	1336
179	749	1331
180	752	1326
181	755	1320
182	759	1315
183	762	1309
184	766	1304
185	769	1299
186	776	1299
187	782	1298
188	786	1294
189	790	1289
190	794	1285
191	798	1281
192	802	1276
193	807	1273
194	811	1268
195	815	1264
196	819	1260
197	822	1255
198	827	1251
199	831	1247
200	835	1242
201	839	1237
202	845	1237
203	850	1234
204	854	1228
205	857	1223
206	860	1217
207	863	1212
208	866	1207
209	870	1201
210	873	1196
211	876	1190
212	879	1185
213	883	1180
214	886	1174
215	889	1169
216	892	1164
217	895	1158
218	899	1153
219	902	1148
220	905	1143
221	908	1138
222	911	1132
223	915	1127
224	918	1122
225	921	1117
226	925	1112
227	928	1107
228	931	1102
229	935	1098
230	938	1092
231	942	1088
232	945	1083
233	948	1078
234	951	1073
235	955	1068
236	958	1063
237	961	1058
238	965	1054
239	968	1049
240	971	1044
241	975	1039
242	978	1034
243	981	1029
244	984	1025
245	990	1022
246	993	1017
247	999	1015
248	1003	1011
249	1006	1006
250	1010	1002
251	1013	997
252	1017	993
253	1020	988
254	1026	985
255	1030	982
256	1034	978
257	1038	974
258	1042	970
259	1046	966
260	1050	962
261	1054	958
262	1058	954
263	1062	950
264	1068	947
265	1076	947
266	1084	946
267	1091	944
268	1095	940
269	1100	937
270	1104	932
271	1108	928
272	1112	924
273	1116	920
274	1120	916
275	1124	912
276	1128	908
277	1132	904
278	1136	900
279	1142	897
280	1148	895
281	1154	892
282	1163	891
283	1170	890
284	1178	888
285	1184	886
286	1190	883
287	1196	880
288	1199	875
289	1202	870
290	1206	866
291	1210	862
292	1213	857
293	1216	852
294	1220	848
295	1225	844
296	1229	840
297	1233	836
298	1237	831
299	1240	827
300	1244	822
301	1247	818
302	1251	813
303	1254	808
304	1258	804
305	1262	800
306	1266	796
307	1271	792
308	1275	788
309	1279	784
310	1283	779
311	1287	775
