Feature,MI_Score,MI_Rank,Chi2_Score,Chi2_PValue,Chi2_Rank,Variance,Low_Variance,Abs_Correlation,Corr_Rank,F_Score,F_PValue,F_Rank,RFE_LR_Selected,RFE_LR_Rank,RFE_GB_Selected,RFE_GB_Rank,SFS_Selected,RF_Importance,RF_Rank,GB_Importance,GB_Rank,LR_L1_Coef,LR_L1_Rank,XGB_Importance,XGB_Rank,Boruta_Selected,Boruta_Tentative,Boruta_Rank,Boruta_Status,Average_Rank,Median_Rank,Consensus,Boruta_Bonus,Combined_Score
mother education,0.04251851734116241,1.0,100.49869857257558,1.1847477718559213e-23,2.0,0.8151223817966234,False,0.16150935164277827,2.0,157.2217096732996,1.305051266446858e-35,2.0,True,1,True,1,False,0.09316215129195687,2.0,0.2436668528242496,1.0,0.15409722225152128,6.0,0.062104244,1.0,True,False,1,Confirmed,1.8181818181818181,1.0,11,1,-3.1818181818181817
wealth index,0.012051449852015672,8.0,235.52938678778594,3.711387262863669e-53,1.0,1.8860429989552863,False,0.1847827430818889,1.0,207.5146855958285,2.9230822539909414e-46,1.0,True,1,True,1,False,0.10345333790625161,1.0,0.14795741302672477,2.0,0.2457079491955528,2.0,0.038715173,9.0,True,False,1,Confirmed,2.5454545454545454,1.0,11,1,-2.4545454545454546
gandaki,0.00564940411203918,15.0,41.894080958566164,9.635387285137503e-11,4.0,0.09739543231242836,False,0.08950050577944905,6.0,47.400392222325074,6.390393248075278e-12,6.0,True,1,True,1,True,0.02300032341743792,19.0,0.04017462230386166,8.0,0.14719043759010011,7.0,0.048271667,4.0,True,False,1,Confirmed,6.545454545454546,6.0,11,1,1.5454545454545459
koshi,0.000978392885500945,22.0,41.89106484137224,9.650261470274955e-11,5.0,0.1197967646358562,False,0.091033265157733,5.0,49.05150755302503,2.77217014285544e-12,5.0,True,1,True,1,True,0.02211031181748976,20.0,0.04105160192202631,7.0,0.19244740922857656,4.0,0.049147785,3.0,True,False,1,Confirmed,6.7272727272727275,5.0,10,1,1.7272727272727275
vaccination record,0.014446504350912548,5.0,25.20655737435301,5.150677341926891e-07,9.0,0.8293560181504527,False,0.06957021988923393,8.0,28.549068894038857,9.479648853281182e-08,8.0,True,1,True,1,False,0.026897131164061023,14.0,0.01567665556024464,14.0,0.2224687580150296,3.0,0.033272177,14.0,True,False,1,Confirmed,7.090909090909091,8.0,11,1,2.090909090909091
child age,0.016200089903649184,4.0,20.682860901050418,5.419896853425693e-06,13.0,1.8845644309106278,False,0.06347861918912619,11.0,23.749068708521058,1.1263300970044513e-06,11.0,True,1,True,1,True,0.044532241307861146,8.0,0.11239277876643425,3.0,0.0,25.0,0.04824753,5.0,True,False,1,Confirmed,7.545454545454546,5.0,10,1,2.545454545454546
health insurance,0.009229096317733276,11.0,24.63436191807004,6.930486402799656e-07,10.0,0.04029302940850072,False,0.06676017651858539,9.0,26.279251814525214,3.049082059808673e-07,9.0,True,1,True,1,True,0.014413457709707199,25.0,0.029046530980213318,9.0,0.0807928361305286,11.0,0.04823232,6.0,True,False,1,Confirmed,8.454545454545455,9.0,10,1,3.454545454545455
residence type,0.011435141693803441,9.0,29.763509212499415,4.880931857943339e-08,7.0,0.24876337625895903,False,0.1044910616186884,3.0,64.79839572949074,9.96247783757076e-16,3.0,True,1,True,1,False,0.03625869062349005,12.0,0.012229751553479945,20.0,0.08363692760157779,10.0,0.025862247,27.0,True,False,1,Confirmed,8.545454545454545,7.0,10,1,3.545454545454545
karnali,0.005088311568960835,16.0,51.79041911615013,6.175240625792089e-13,3.0,0.10083600313182098,False,0.09975991467920281,4.0,59.00570535983061,1.8307152034026756e-14,4.0,True,1,True,1,False,0.015914074580996515,24.0,0.012348193245209419,19.0,0.07271395779626506,12.0,0.034439005,13.0,True,False,1,Confirmed,8.909090909090908,4.0,10,1,3.9090909090909083
meal freqency,0.014160325956190434,6.0,28.207158112454305,1.0900071169247358e-07,8.0,4.108971627453048,False,0.03838442495225855,21.0,8.661408551466941,0.003262926261555749,21.0,True,1,True,1,True,0.061468847613840506,3.0,0.04566963113906906,6.0,0.039450141974198855,14.0,0.031079616,18.0,True,False,1,Confirmed,9.090909090909092,6.0,9,1,4.090909090909092
