Strategy,K,Features,CV_F1_Mean,CV_F1_Std
Top 11,11,"mother education, wealth index, gandaki...",0.6222837199017807,0.06896669711792439
Top 12,12,"mother education, wealth index, gandaki...",0.6208435434821894,0.07374281705730171
Top 13,13,"mother education, wealth index, gandaki...",0.6206882014371308,0.06876834504753632
Top 10,10,"mother education, wealth index, gandaki...",0.6177440995397683,0.07110246426419009
Top 14,14,"mother education, wealth index, gandaki...",0.6168195578489704,0.07066408689472344
Top 7,7,"mother education, wealth index, gandaki...",0.61427430508953,0.062633360462443
Top 19,19,"mother education, wealth index, gandaki...",0.610631181104022,0.07800876631378517
Boruta Confirmed,16,"mother education, wealth index, gandaki...",0.6099994328923072,0.07486592811567185
Top 16,16,"mother education, wealth index, gandaki...",0.6099994328923072,0.07486592811567185
Boruta Conf+Tent,17,"mother education, wealth index, gandaki...",0.6096405675330974,0.08097014778349035
Top 15,15,"mother education, wealth index, gandaki...",0.609589037926684,0.07367214252070443
Top 17,17,"mother education, wealth index, gandaki...",0.6083230372409972,0.07816255121762082
Top 22,22,"mother education, wealth index, gandaki...",0.6073252505157036,0.08551977439871468
